demo_case_id,original_case_id,person_id,age_group,last_latitude,last_longitude,previous_latitude,previous_longitude,last_seen_time,hour,day,weather,average_distance,average_speed,time_since_last_seen,usual_area,previous_area,target_area
MP-00001,MP-3744572,179,26-35,39.991343,116.332619,39.991356,116.332591,2008-09-06 12:02:13,12,Saturday,Cloudy,641.1121318105587,0.851094539256906,2.0,Area_0,Area_0,Area_0
MP-00002,MP-2246250,112,18-25,39.9719816,116.3261883,39.9719749,116.3261583,2008-05-28 01:32:01,1,Wednesday,Cloudy,1287.4476558101485,1.6561751443411263,2.0,Area_0,Area_0,Area_0
MP-00003,MP-3036578,153,18-25,39.966575,116.34273,39.966575,116.342734,2008-09-29 05:31:00,5,Monday,Rain,10746.86444279168,5.931654429025852,2.0,Area_0,Area_0,Area_0
MP-00004,MP-970336,67,36-45,39.10741,117.17069,39.10741,117.17069,2011-05-07 07:26:36,7,Saturday,Rain,849.3842597281838,1.208748895216861,1.0,Area_0,Area_0,Area_0
MP-00005,MP-1154383,68,18-25,39.944666,116.357475,39.944666,116.357475,2009-07-25 03:34:13,3,Saturday,Rain,8965.181190267343,4.485461791388002,2.0,Area_0,Area_0,Area_0
MP-00006,MP-265107,10,18-25,36.986418,98.23348,36.986439,98.233291,2008-09-30 04:52:56,4,Tuesday,Cloudy,49554.89978807553,24.75576379920224,1.0,Area_2,Area_2,Area_2
MP-00007,MP-232625,10,18-25,35.426228,104.60589,35.425736,104.605936,2008-09-29 05:35:18,5,Monday,Clear,178389.3128867885,27.82729069175856,2.0,Area_2,Area_2,Area_2
MP-00008,MP-227166,10,46-60,34.382808,107.049195,34.38267,107.049395,2008-09-29 02:50:32,2,Monday,Rain,151194.72457289798,28.621428643048027,1.0,Area_2,Area_2,Area_2
MP-00009,MP-187036,10,26-35,34.735181,112.089021,34.735181,112.088735,2008-08-01 14:37:06,14,Friday,Rain,42085.83959778283,18.570815202024978,1.0,Area_2,Area_2,Area_2
MP-00010,MP-132982,10,36-45,35.16069,117.09681,35.161256,117.096703,2008-06-19 00:39:17,0,Thursday,Clear,46180.55969484155,21.927842075089053,2.0,Area_2,Area_2,Area_2
MP-00011,MP-2398996,125,26-35,25.822629,113.082432,25.821772,113.082432,2008-09-03 00:51:25,0,Wednesday,Rain,54072.14982799249,16.287645234557047,5.0,Area_3,Area_3,Area_3
MP-00012,MP-1846697,84,46-60,19.264702,110.437687,19.265009,110.438071,2008-08-28 02:34:04,2,Thursday,Cloudy,142527.7880049979,20.72971594133217,2.0,Area_3,Area_3,Area_3
MP-00013,MP-2809208,128,26-35,22.2931466,114.1730116,22.2931549,114.1730116,2008-11-20 08:27:01,8,Thursday,Cloudy,627.8377218923333,0.8436372383834438,2.0,Area_3,Area_3,Area_3
MP-00014,MP-2647528,128,36-45,26.1953066,115.1714249,26.1953066,115.1714383,2009-02-01 07:52:29,7,Sunday,Cloudy,9308.003146259214,5.423891395196135,3.0,Area_3,Area_3,Area_3
MP-00015,MP-2647805,128,36-45,26.2209783,115.1625033,26.2215133,115.1624766,2009-02-01 09:08:14,9,Sunday,Cloudy,66420.3126982494,8.985810688831378,6.0,Area_3,Area_3,Area_3
MP-00016,MP-2658452,128,46-60,47.7097516,-122.237085,47.7090833,-122.2370283,2009-02-27 17:23:06,17,Friday,Rain,6536.442500856964,3.049621113676067,6.0,Area_1,Area_1,Area_1
MP-00017,MP-2670321,128,18-25,47.4681083,-122.2139916,47.4685283,-122.2102299,2009-03-05 17:58:05,17,Thursday,Cloudy,14783.790408454151,19.22563826582777,10.0,Area_1,Area_1,Area_1
MP-00018,MP-2666885,128,46-60,47.410215,-121.4161649,47.410215,-121.4161649,2009-03-01 00:05:35,0,Sunday,Clear,4980.185024810551,1.8064293216810745,4.0,Area_1,Area_1,Area_1
MP-00019,MP-1669348,82,46-60,47.631797,-122.138322,47.631797,-122.138324,2008-08-03 03:21:40,3,Sunday,Clear,511.5901326541912,1.0031179071650806,2.0,Area_1,Area_1,Area_1
MP-00020,MP-2785132,128,46-60,57.6886266,-158.7350166,57.6796766,-158.6994133,2009-03-06 01:01:47,1,Friday,Clear,3479830.7856329526,192.84286720753187,10.0,Area_1,Area_1,Area_1
